No,Nama Perusahaan,Merek Perusahaan,Nomor Anggota,Nama Pimpinan,Perijinan,Kota,Provinsi,DPD
"510","PT MEDIA SOUL TRAVELINDO","-","AK/427/AMPHURI/2018","Hj. Syulkarnain Syam, S.Sos","Kemitraan","","Sulawesi Selatan","Sulampua"
"511","PT ASSAYYIDI ISLAMIC TOUR & TRAVEL","-","AK/520/AMPHURI/2019","Hj. Tuti Marhaini, S.Pd","Kemitraan","","Nangroe Aceh Darussalam","Aceh"
"512","PT ALIMTIYAAZ BIRO PERJALANAN","Al-Imtiyaaz Tour & Travel","AK/652/AMPHURI/2021","Hj. Dewi Marlina","Kemitraan","","Nangroe Aceh Darussalam","Aceh"
"513","PT AL KHOIROH TOUR TRAVEL","-","709/AMPHURI/2022","H. Khoirul Rijal","PPIU","","Jawa Timur","Jawa Timur"
"514","PT MEKAH TUR INDONESIA","Pt. Mekah Tur Indonesia","720/AMPHURI/2022","H. Adlan Tavtazzanni","PPIU","","Jawa Barat","Jawa Barat"
"515","PT AZZUMAR MULIA WISATA","Azzumar Wisata","721/AMPHURI/2022","H. Abdul Manap","PPIU","","Jawa Barat","Jawa Barat"
"516","PT SABA KHIDMAH MUMTAZA","Pt. Saba Tour & Travel","722/AMPHURI/2022","H. Reza Husein","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"517","PT SANTIKA GLOBAL TRAVELINDO","Umroh Nyaman Ya Santika","723/AMPHURI/2022","H. Dwi Hapsari Endah Susanti,S.Sos","PPIU","","Jawa Tengah","Jawa Tengah"
"518","PT NISMA WISATA HAROMAIN","Nisma Tour & Travel","724/AMPHURI/2022","H. Thoriq Abdat","PPIU","","Jawa Tengah","Jawa Tengah"
"519","PT SYAAMIL PRIMA DAYA","Syaamil Tours","725/AMPHURI/2022","H. Nova Irawandi Alizar","PPIU","","Jawa Barat","Jawa Barat"
"520","PT WISATA MULIA INSANI","Wmi Tour & Travel","726/AMPHURI/2022","H. Agus Mulyadi","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"521","PT INDO 6STAR HOLIDAY TOURS","Aisyah Faaza","727/AMPHURI/2022","Hj. Qurrotun Ayuni Ritonga","PPIU","","Jawa Barat","Jawa Barat"
"522","PT SUKSES INTERNASIONAL TOUR & TRAVEL","Sinai Tour & Travel","728/AMPHURI/2022","H. Nanda Yusra","PPIU","","Sumatera Barat","Sumatera Barat"
"523","PT TAMAN SURGA","-","729/AMPHURI/2022","H. Sugeng Krisdwiyanto","PPIU","","Jawa Timur","Jawa Timur"
"524","PT EMERALD WORLD ISTIQOMAH","Istiqomah Travel Umroh","730/AMPHURI/2023","H. Sunggul Lelo Siregar","PPIU","","Sumatera Utara","Sumatera Utara"
"525","PT ALGHONI BAROKAH INSAN WISATA","Arrahmaniyah Tour & Travel","731/AMPHURI/2023","H. Ujang Salahuddin","PPIU","","Jawa Barat","Jawa Barat"
"526","PT BERKAH ZAMZAM WISATA","Zamzam Tour & Travel","732/AMPHURI/2023","Hj. Agustin Eka Trisanti","PPIU","","Jawa Timur","Jawa Timur"
"527","PT ROYAL AJYAD INDONESIA","-","733/AMPHURI/2023","H. Ahmad Riyadh","PPIU","","Jawa Barat","Jawa Barat"
"528","PT BONNI OKTAFIAN SYAHPUTRA","Pt. Bos Tour & Travel Umroh & Haji","734/AMPHURI/2023","Hj. Nurmala Dewi","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"529","PT ARSYILA WAHYU TRAVEL","Arsyila Wahyu Travel","735/AMPHURI/2023","H. Wahyudi Rauf Pahua","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"530","PT RENARA WISATA PRIMA","Renara Wisata","736/AMPHURI/2023","H. Agil Idrus Alkaf","PPIU","","Jawa Barat","Jawa Barat"
"531","PT ALFATH PUTRA UTAMA TOUR TRAVEL","Mabrur Bersama Alfath","737/AMPHURI/2023","Drs. H. Abdul Fatah","PPIU","","Jawa Timur","Jawa Timur"
"532","PT JANEWA RABBANI WISATA","Jrw","738/AMPHURI/2023","H. Muhammad Yasmar Yapid","PPIU","","Sulawesi Selatan","Sulampua"
"533","PT CAHAYA DELIMA GRUP","Cahaya Delima Tour & Travel","739/AMPHURI/2023","H. Muhammad Arfan Nasution","PPIU","","Sumatera Utara","Sumatera Utara"
"534","PT FAJAR SEJAHTERA INTERNASIONAL","Fajar Sutras Travel","740/AMPHURI/2023","H. Muh. Hatta Alwi Hamu, S.E, M.M","PPIU","","Sulawesi Selatan","Sulampua"
"535","PT AZWAR KARYA WISATA","Azwar Tour & Travel Umrah Dan Haji","741/AMPHURI/2023","H. Muhammad Yakub","PPIU","","Jawa Barat","Jawa Barat"
"536","PT LAVANAYA MADINAH TRAVEL","Lavanaya Madinah Travel","742/AMPHURI/2023","H. Sandi Sugandari Muhiban","PPIU","","Jawa Barat","Jawa Barat"
"537","PT HIJRAH QOLBU QUALITY","Haqiqi Tour & Travel","743/AMPHURI/2023","H. Billy Julian, S.E","PIHK","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"538","PT MUSYAFFA CAHAYA HATI","Musyaffa Tours","745/AMPHURI/2023","Hj. Elsa Hasnani","PPIU","","Banten","Banten"
"539","PT AMANAH AKBAR WISATA MANDIRI","Aa Umrah","747/AMPHURI/2023","H. Ahmad Effendi Harahap","PPIU","","Sumatera Utara","Sumatera Utara"
"540","PT BARKA GLOBAL WISATA","Barka Global","748/AMPHURI/2023","Hj. Dais Ambari, S.E.","PPIU","","Banten","Banten"
"541","PT ABHINAYA SADINA WISATA","Abhinaya Sadina Tour And Travel","749/AMPHURI/2023","Hj. Hastuti Purwani","PPIU","","Jawa Barat","Jawa Barat"
"542","PT CORDOVA MULYA UTAMA","-","750/AMPHURI/2023","H. Kamizar","PPIU","","Riau","Kepulauan Riau, Riau"
"543","PT ARDIBO BRAGAMAS WISATA","Hilabi Tour & Travel","751/AMPHURI/2023","H. Hamad Salim Hilabi","PPIU","","Jawa Barat","Jawa Barat"
"544","PT ATTAUFIQ MANDIRI WISATA","Atta Mandiri Tours","752/AMPHURI/2023","H. Desti Nia Wijaya","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"545","PT KAFILAH AKBAR INDONESIA","Kai Travel","753/AMPHURI/2023","H. Taufik Alfian","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"546","PT MAMAY SARTIKA","-","754/AMPHURI/2023","H. Ari Torando","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"547","PT UMRAH WISATA BERKAH","Umrah Travel","755/AMPHURI/2023","H. Urwatul Wusqa","PPIU","","Sumatera Barat","Sumatera Barat"
"548","PT REHABUL HARAMAIN SYARIFAIN","-","756/AMPHURI/2023","H. Erwin Putradi","PIHK","","Ntb","Bali dan Nusa Tenggara (Bali & Nusra)"
"549","PT AL-IHSAN TOUR & TRAVEL","-","757/AMPHURI/2023","H. Nasaie","PPIU","","Nangroe Aceh Darussalam","Aceh"
"550","PT SHAKYR MAHABBAH ISLAMI","Smi Tour","758/AMPHURI/2023","H. Dede Baharsyah Almunir","PPIU","","Jawa Barat","Jawa Barat"
"551","PT CAHAYA MULTAZAM PENUH CINTA","Cahaya Multazam","759/AMPHURI/2023","H. Imam Muntaha, S.Kom,I","PPIU","","Jawa Barat","Jawa Barat"
"552","PT ASSALAM FIL ALAMIN","Asfa Travel","760/AMPHURI/2023","H. Mohammad Adil Triansyah","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"553","PT WAHDAH ISLAMIC TRAVEL","Wahdah Islamic Travel","761/AMPHURI/2023","H. Muhammad Istiqomah","PPIU","","Sulawesi Selatan","Sulampua"
"554","PT ABIKARYA BANGUN INDONESIA","Abi Tour & Travel","762/AMPHURI/2023","H. Muhammad Heri Irawan","PIHK","","Jawa Timur","Jawa Timur"
"555","PT DEWANTA NOOR AMANAH","Dna Tour & Travel","763/AMPHURI/2023","Hj.Noorsiyah, S.E","PPIU","","Jawa Tengah","Jawa Tengah"
"556","PT WISATA IMAN TOUR & TRAVEL","Amanah, Profesional, Sesuai Sunnah","764/AMPHURI/2023","Dr. H. Rahmat Abdul Rahman, Lc., M.A.","PPIU","","Sulawesi Selatan","Sulampua"
"557","PT BUMI MADINAH INSANY","Bumiku Umroh","765/AMPHURI/2023","H. Syafruddin","PPIU","","Sumatera Barat","Sumatera Barat"
"558","PT AJODYA SETIA WISATA","Ajodya Wisata","766/AMPHURI/2023","Hj. Purwestri Rahayu Ningsih","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"559","PT BERKAH CAHAYA HARAMAIN","Dua Cahaya Travel","767/AMPHURI/2023","Hj. Dwi Nopiyanti","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"560","PT SULTAN FATIH GLOBAL GRUP","Sultan Fatih Tour And Travel","768/AMPHURI/2023","Hj. Sulastri","PPIU","","Jawa Barat","Jawa Barat"
"561","PT ESRA WISATA","Esra Wisata","769/AMPHURI/2023","Hj. Semah Wafiah","PIHK","","Jawa Barat","Jawa Barat"
"562","PT AMICALE LIFESTYLE INTERNATIONAL","Amicale Travel","770/AMPHURI/2023","Hj. Sarmini","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"563","PT PUTRA DUTA WISATA","Putra Duta Wisata","771/AMPHURI/2023","H. Sutaryo, S.Sos","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"564","PT MAHABBAH FAIRUZA WISATA","Solusi Terbaik Perjalanan Umroh Anda","772/AMPHURI/2023","Dr. H. Choirul Huda, M.Ag","PPIU","","Jawa Tengah","Jawa Tengah"
"565","PT VACANA GRUOP INDONESIA","Vacana Group","773/AMPHURI/2023","H. Achmad Arief, S.Kom","PPIU","","Bali","Bali dan Nusa Tenggara (Bali & Nusra)"
"566","PT FATIH MULIYA BERSAMA","Fatih Tour","774/AMPHURI/2023","H. Abu Hurairah","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"567","PT GAHARU INDAH WISATA","Gaharu Tour & Travel","775/AMPHURI/2023","H. Herman Sukatma, Bba","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"568","PT RADIAN KHARISMA WISATA","Annisa Travel","776/AMPHURI/2023","Hj. Eri Herawati","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"569","PT SAUDARA DUA TOUR & TRAVEL","Pt Saudara Dua Tour Dan Travel","777/AMPHURI/2023","H. Muhammad Asrul","PPIU","","Papua","Sulampua"
"570","PT ATTAMIMI TAWAKKAL ALALLOH","Ata","778/AMPHURI/2023","H. Mutammimul Masholih","PIHK","","Jawa Tengah","Jawa Tengah"
"571","PT AMANTUBILLAHI KARYA BAROKAH","Amantubillahi Travel","779/AMPHURI/2023","H. Zamroni Taufik","PPIU","","Ntb","Bali dan Nusa Tenggara (Bali & Nusra)"
"572","PT HABIB TOUR TRAVEL","Hatour","780/AMPHURI/2023","Hj. Zulfa Salsabila Alfarobi","PPIU","","Jawa Tengah","Jawa Tengah"
"573","PT ABHITA ANANTA TUR","Abhita Tour","781/AMPHURI/2023","H. Najib Wahyuddin","PPIU","","Jawa Barat","Jawa Barat"
"574","PT BAITULLAH AMINA AZIS","-","782/AMPHURI/2023","Hj. Siti Amina","PPIU","","Jawa Timur","Jawa Timur"
"575","PT SARANA KHOMSA UTAMA","-","783/AMPHURI/2023","H. Edy Haryanto","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"576","PT ANNIDA WISATA UTAMA","Annida Tour","784/AMPHURI/2023","H. Deska Masriyanto","PPIU","","Bandar Lampung","Lampung"
"577","PT RIEZKI AKBAR TOURINDO","-","785/AMPHURI/2023","Hj. Pudji Astutik","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"578","PT IKHWAN LATANSA TRAVEL","""","786/AMPHURI/2023","H. Franky Irawan","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"579","PT ZEINTA MITRA UTAMA","Zeinta Group","787/AMPHURI/2023","H. Turmuzi","PIHK","","Ntb","Bali dan Nusa Tenggara (Bali & Nusra)"
"580","PT PUTRA MAJU PESONA TOUR DAN TRAVEL","""","788/AMPHURI/2023","H. Mohamad Sarip Taofik Hasbullah","PPIU","","Jawa Barat","Jawa Barat"
"581","PT ANUGERAH AMANAH BERSAMA UMAT","Aman Tour","789/AMPHURI/2023","H. Agnas Daud Ismail","PPIU","","Jawa Barat","Jawa Barat"
"582","PT HARAMAIN JAUHARI ALMUBARAK","-","790/AMPHURI/2023","H. Lely Sefri Aini","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"583","PT SIR MADINAH TOURS","Sir Madinah","791/AMPHURI/2023","K.H. Sir Muhammad R. Ilzam Mubarak","PPIU","","Jawa Timur","Jawa Timur"
"584","PT CIPTA DHARMAMULYA SEJATI","Tadharus Tours","792/AMPHURI/2024","H. Iskandar Basuki","PPIU","","Jawa Tengah","Jawa Tengah"
"585","PT ALMULTAZAM AMANAH INSANI","Almultazam Amanah Insani Tour & Travel","793/AMPHURI/2024","H. Nidaul Hilmi Cholidah","PPIU","","Jawa Timur","Jawa Timur"
"586","PT BERKAH INSAN MULIA TOUR & TRAVEL","Bim Umrah","794/AMPHURI/2024","H. Fernanda Fadhli Fakhruddin","PPIU","","Jawa Timur","Jawa Timur"
"587","PT LATIFAH DINI WISATA SEJAHTERA","Latifah Dini Tours","796/AMPHURI/2024","H. Taufik Ridwan","PPIU","","DIY. Yogyakarta","Daerah Istimewa Yogyakarta"
"588","PT ANWAR ALHIMAM WISATA","Arima Wisata","797/AMPHURI/2024","H. Kaulah Al Azhar","PPIU","","Banten","Banten"
"589","PT ALMUNAWWAROH BERKAH BERSAMA","""","798/AMPHURI/2024","Dr. Kh. Aca Syathybie, Lc., Ma., M.S.I","PPIU","","Jawa Barat","Jawa Barat"
"590","PT DAUROH TRAVEL INDONESIA","Dauroh Travel","799/AMPHURI/2024","H. Husnul Mukhsin, S.H.","PIHK","","Jawa Barat","Jawa Barat"
"591","PT HILAL AMANAH QOLBU INTERNASIONAL","Hqq Tour","800/AMPHURI/2024","H. Nasrulloh, S.Hi","PIHK","","Jawa Barat","Jawa Barat"
"592","PT ALFA ROYAL INTERNASIONAL","Alfa Internasional","801/AMPHURI/2024","Hj. Andi Meryam Kusumawati","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"593","PT TRANS GAMALAMA PERSADA","-","802/AMPHURI/2024","H. Muhammad Anis Mashhur","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"594","PT RIHLAH PRIMA MANDIRI","-","803/AMPHURI/2024","H. Sucipto, S.H","PPIU","","Sulawesi Tenggara","Sulampua"
"595","PT MOESLEM HARAMEIN TOURS & TRAVEL","-","804/AMPHURI/2024","H. Didi Marwadi, Sr.","PPIU","","Lampung","Lampung"
"596","PT MELIA KHATULISTIWA WISATA","Melia Wisata Tour & Travel","805/AMPHURI/2024","Hj. Damini Emely, Sh, Mh","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"597","PT BUTALA MENANG ABADI","""","806/AMPHURI/2024","H. Rahmad Rivaldi","PPIU","","Riau","Kepulauan Riau, Riau"
"598","PT SALSABILLA WISATA TUR","-","807/AMPHURI/2024","H. Effy Fidyatin","PPIU","","Sumatera Utara","Sumatera Utara"
"599","PT AMAYYA LINTAS IMANI","Amayya Tour","808/AMPHURI/2024","Hj. Utami Widyanti Setiarini. S.Psi","PPIU","","Jawa Barat","Jawa Barat"
"600","PT ASSAADAH RIHLAH HIDAYAH","-","809/AMPHURI/2024","Hj. Malikhah Saadah, M.Pdi","PPIU","","Lampung","Lampung"
"601","PT INTERNASIONAL HARAMAIN MAKKAH","In - Haramain Tour","810/AMPHURI/2024","H. Umar, S.T., M.T","PPIU","","Jawa Tengah","Jawa Tengah"
"602","PT IANAH BARAKA UTAMA","Ibu Tour & Travel","811/AMPHURI/2024","H. Asrori, Lc","PPIU","","Jawa Tengah","Jawa Tengah"
"603","PT RAJAWALI ARYA NUSANTARA","-","812/AMPHURI/2024","H. Muhammad Fatkhuddin","PPIU","","Jawa Barat","Jawa Barat"
"604","PT SOKA CIPTA WISATA","Soka Umrah / Holy Umroh","813/AMPHURI/2024","Drs. Iwan Gunawan, Mm","PPIU","","Jawa Barat","Jawa Barat"
"605","PT SEJALAN MANDIRI SEJAHTERA","Sejalan Tour & Travel","814/AMPHURI/2024","Hj. Zulfa Batis","PPIU","","Jawa Timur","Jawa Timur"
"606","PT IZDIHAAR HARAMAIN TOUR","Izdihaar Tours","815/AMPHURI/2024","Drs. H. Syamsudin, Mm","PPIU","","Jawa Barat","Jawa Barat"
"607","PT BIRRA ROYAL GRUP","Birra Royal Grup","816/AMPHURI/2024","H. Rousydiy, Lc., M. Us","PPIU","","Jawa Barat","Jawa Barat"
"608","PT CAHAYA BUKIT TURSINA","Catur Travel","817/AMPHURI/2024","H. Zai Mulyadi","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"609","PT MUDAHAN BERKAH SEJAHTERA","Mbs Tour Travel","818/AMPHURI/2024","H. Muhammad Asror Zawawi, M.Hi","PPIU","","Ntb","Bali dan Nusa Tenggara (Bali & Nusra)"
"610","PT TRAVELINDO PESONA WISATA","Maheer Travel","819/AMPHURI/2024","H. Kemal Alfasah","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"611","PT NABILA CAHAYA ILAHI","Nabilla Cahaya Hati Tour And Travel","820/AMPHURI/2024","Ira Rahmawati","PPIU","","Ntb","Bali dan Nusa Tenggara (Bali & Nusra)"
"612","PT AMANAH ASYRAAF ABADI","-","823/AMPHURI/2024","Hj. Christien Candra Panca","PPIU","","Jawa Barat","Jawa Barat"
"613","PT NOOR BAROKAH WALIDEIN","Nbw Tours Travel","824/AMPHURI/2024","H. Saiful Rizal","PPIU","","Jawa Barat","Jawa Barat"
"614","PT ALAE JELAJAH INTERNATIONAL","Alae Tours","825/AMPHURI/2024","Hj. Yayuk Hariyanti Hudaya","PPIU","","Jawa Barat","Jawa Barat"
"615","PT AMASYA DUNIA SAFARINDO","Amasya Tours","826/AMPHURI/2024","Hj. Dini Apriani","PPIU","","Jawa Barat","Jawa Barat"
"616","PT BAITUSSALAM MANDIRI","-","827/AMPHURI/2024","Hj. Helmidah Muhammad Chamis","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"617","PT NIKMAT TARUNA SENTOSA","Nikma Tour","828/AMPHURI/2024","H. Taruna Dwi Sutandana","PPIU","","Jawa Tengah","Jawa Tengah"
"618","PT MUTIARA SUNNAH MANDIRI","-","829/AMPHURI/2024","H. Andi Antoni","PIHK","","Jawa Barat","Jawa Barat"
"619","PT RANIAULIA WAHYU SELARAS","Aurasuci Tour","830/AMPHURI/2024","Dr. Hj. Lily Lidya","PPIU","","Jawa Timur","Jawa Timur"
"620","PT AAA MAKMUR ABADI","A3 Aman Amanah Absolut","831/AMPHURI/2024","H. Eka Subayani","PPIU","","Jawa Timur","Jawa Timur"
"621","PT SYAHIRAH CAHAYA MEDINAH","Syahirah Tour","832/AMPHURI/2024","H. Nurcahyo Romadhan, Se","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"622","PT ANSHOR SARANA MANUNGGAL","-","833/AMPHURI/2024","H. Muhammad Ali Mihsona Hafidz","PPIU","","Jawa Timur","Jawa Timur"
"623","PT SAHABAT DUNIA WISATA","""","834/AMPHURI/2024","Ir. H. Suwandi","PPIU","","Jawa Timur","Jawa Timur"
"624","PT SAQIFAH MADINAH WISATA","-","835/AMPHURI/2024","H. Modriq Alhanan","PPIU","","Banten","Banten"
"625","PT PANDAWA UMROH SYIAR BAITULLAH","Waroeng Umroh","836/AMPHURI/2024","Hj. Nurhidayah","PPIU","","Jawa Tengah","Jawa Tengah"
"626","PT TURBAH WISATA INDAH","-","837/AMPHURI/2024","H. Muhammad Samir","PPIU","","Kalimantan Selatan","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"627","PT SERAYA JELAJAH CAKRAWALA","-","838/AMPHURI/2024","H. Widhiarto Wishnu Aji","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"628","PT ARAH QOLBU","Sanur Tour Travel","839/AMPHURI/2024","H. Adamsyah Reza Machfud","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"629","PT INDONESIA CENDEKIA MANDIRI","""","840/AMPHURI/2024","Dr. H. Muhammad Rahmad, MM","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"630","PT ALBURAQ TRAVEL DAN TOUR","Alburaq","841/AMPHURI/2024","H. Abdul Muhit","PPIU","","Jawa Barat","Jawa Barat"
"631","PT GRAHA MULYA AZAMNYNDO","-","842/AMPHURI/2024","Hj. Enung Uswatun Hasanah","PPIU","","Jawa Barat","Jawa Barat"
"632","PT MADANI PRIMA UTAMA","""","843/AMPHURI/2024","H. Ade Muhyie Sunnah","PPIU","","Jawa Barat","Jawa Barat"
"633","PT PARAMUDA GOTRAVEL INDONESIA","-","844/AMPHURI/2024","H. Yeppy Seprido, M. Hum","PPIU","","Lampung","Lampung"
"634","PT NAJA AMANAH WISATA","Naja Amanah Wisata","845/AMPHURI/2024","H. Zainuri","PPIU","","Lampung","Lampung"
"635","PT ALVIANDRA EDU WISATA","-","846/AMPHURI/2024","H. Indra Wijaya","PPIU","","Jawa Barat","Jawa Barat"
"636","PT AR-REHAB TOUR","-","847/AMPHURI/2024","H. M. Sokheh","PPIU","","Jawa Barat","Jawa Barat"
"637","PT GEMILANG MANDIRI WISATA","Fav Tour","848/AMPHURI/2024","H. Fajar Wahyuningsih","PPIU","","Jawa Timur","Jawa Timur"
"638","PT LAND ARRANGEMENT JAMILAH","La Jamilah","849/AMPHURI/2024","H. Syecha Bawazier","PPIU","","Sumatera Utara","Sumatera Utara"
"639","PT RAMADHAN BERKAH WISATA","Rbw Tour Travel","850/AMPHURI/2024","Drs. H. Hambali","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"640","PT SAW TOUR TRAVEL","Saw Tour","851/AMPHURI/2024","Hj. Silvia Fithriany","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"641","PT IZZATUL QURAN TOUR DAN TRAVEL","Izzah Tour","852/AMPHURI/2024","Dr. Kh. Abdul Rachman Akkase","PPIU","","Kalimantan Timur","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"642","PT ALL GARUTI MAKY 999","All Garti Internasional","853/AMPHURI/2024","Asep Immanuddin","PPIU","","Jawa Barat","Jawa Barat"
"643","PT OMAH WISATA RAHMAH","Omah Wisata","854/AMPHURI/2024","H. Muhammad Ridwan","PPIU","","Banten","Banten"
"644","PT BIR ALI TOUR AND TRAVEL","Bir Ali Tour","855/AMPHURI/2024","H. Samsul Bahri A","PPIU","","Aceh","Aceh"
"645","PT HARUM SONNA CIPTA","Hsc Luxury","856/AMPHURI/2024","Hj. Novi Ratih Ayu","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"646","PT QOLBUN SALIM MUBAROK","","857/AMPHURI/2024","Hj. Mukti Windari","PPIU","","Jawa Barat","Jawa Barat"
"647","PT RAYHAN MUSLIM TOUR DAN TRAVEL","Rm Tour & Travel","858/AMPHURI/2024","Ir H. Mustofa","PPIU","","Jawa Timur","Jawa Timur"
"648","PT ABEED UNIVERSAL TOUR DAN TRAVEL","Abeed Universal","859/AMPHURI/2024","H. Hendry Chumaydy","PPIU","","Jawa Timur","Jawa Timur"
"649","PT BABUSSALAM CITRA MANDIRI","Babussalamtours","860/AMPHURI/2024","H. Ishaq","PPIU","","Sulawesi Tengah","Sulampua"
"650","PT ENDANA GIRI WISATA","","861/AMPHURI/2024","H. Muhammad Lutfi","PPIU","","Jawa Timur","Jawa Timur"
"651","PT TRAVELATAYA MANDIRI UTAMA","","862/AMPHURI/2024","H. Hermansyah","PPIU","","Riau","Kepulauan Riau, Riau"
"652","PT AL JANNAH WISATA INTERNASIONAL","Al Iannah Tour & Travel","863/AMPHURI/2024","H. Shorava Lolvta Octaviana","PPIU","","Jawa Tengah","Jawa Tengah"
"653","PT AMIRA INDO WISATA","Amiraindo Wisata","864/AMPHURI/2024","Fajri Gufran Zaina","PPIU","","Sumatera Barat","Sumatera Barat"
"654","PT LANTABUR BERKAH WISATAPEDIA","El-Umroh","865/AMPHURI/2024","Muchlis Ardianto","PPIU","","DIY. Yogyakarta","Daerah Istimewa Yogyakarta"
"655","PT BIN THALIEB INTERNATIONAL","Thalieb Tour","866/AMPHURI/2024","Heriyanto Tolib Suandi","PPIU","","Jawa Barat","Jawa Barat"
"656","PT SARANA BERKAH AZZIKRA","Azzikratour","867/AMPHURI/2024","Rastina Arianti","PIHK","","Aceh","Aceh"
"657","PT HAP TRAVEL HAJI DAN UMROH","Hap Tour","868/AMPHURI/2024","Adam Hidayat","PPIU","","Sulawesi Selatan","Sulampua"
"658","PT SAVITA MITRA MANDIRI","Arisha Tour","869/AMPHURI/2024","Indah Wahyu Sulistyowati","PPIU","","Jawa Tengah","Jawa Tengah"
"659","PT SRIJAYA ABADI","","870/AMPHURI/2024","Anik Ernawati","PPIU","","Jawa Timur","Jawa Timur"
"660","PT PUTIKAYO TOUR TRAVEL INTERNASIONAL","Umrahasia","871/AMPHURI/2024","Dr. Amnur R. Kayo","Kemitraan","","Sumatera Barat","Sumatera Barat"
"661","PT BERKAH CINTA SHOLAWAT","Bcs Tour","872/AMPHURI/2024","H. M. Syamsuddin","PPIU","","Banten","Banten"
"662","PT IBNA SITTAH SYAHRIL","Ibna Tour","873/AMPHURI/2024","H. Fahmi Idris Syahril S. Ag","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"663","PT DARUL IZZAH ALHARAMAIN","Darul Izzah Tour Travel","874/AMPHURI/2024","H. Irwandi","PPIU","","Aceh","Aceh"
"664","PT ATTA AL-MUKARRAMAH WISATA","Atta Wisata","875/AMPHURI/2024","H. Said","PPIU","","Sulawesi Selatan","Sulampua"
"665","PT EVER HARAMAIN INDONESIA","Haromain Tujuan Ibadah Kita","876/AMPHURI/2024","H. Ponco Sampurno","PPIU","","Jawa Barat","Jawa Barat"
"666","PT ASH SHOFWAH GROUP TOUR AND TRAVEL","","877/AMPHURI/2024","H. Moh Lukman Hakim","PPIU","","Jawa Timur","Jawa Timur"
"667","PT INTERNATIONAL LIQO WISATA","Liqo Tour","878/AMPHURI/2024","Veri Gonzales","PPIU","","Jawa Barat","Jawa Barat"
"668","PT ZAM-ZAM ASSYIFA NUSANTARA","","879/AMPHURI/2024","H. Subhan","PPIU","","Jawa Timur","Jawa Timur"
"669","PT SOKO NAMU GROUP","Gifttravel","880/AMPHURI/2024","H. Muhammad Ansori","PPIU","","Jawa Tengah","Jawa Tengah"
"670","PT ELKANZA NUR KHOMSAH","Elkanza","881/AMPHURI/2024","H. Ali Hamidi","PPIU","","Banten","Banten"
"671","PT AMARA GLOBAL WISATA","Mahya Tour","882/AMPHURI/2024","Ahmad","PPIU","","Jawa Timur","Jawa Timur"
"672","PT MASTOUR TRAVEL INDONESIA","Mastour","883/AMPHURI/2024","M. Aris Suwirya","PPIU","","Jawa Barat","Jawa Barat"
"673","PT SAFARA KEMBARA NUSANTARA","Weetour","884/AMPHURI/2024","Karmila","PPIU","","Banten","Banten"
"674","PT ALGHAZAALIE CITRA UTAMA","-","885/AMPHURI/2024","M. Sofyan Zidni Mubarok","PPIU","","Jawa Timur","Jawa Timur"
"675","PT PESONA MEKKAH MADINAH","Pesona Mekkah Madinah","886/AMPHURI/2024","Oktiantio P. Noerdiansyah","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
